NCBI gene (formerly Entrezgene) ID	Gene stable ID
	ENSG00000210049
	ENSG00000211459
	ENSG00000210077
	ENSG00000210082
	ENSG00000209082
4535	ENSG00000198888
	ENSG00000210100
	ENSG00000210107
	ENSG00000210112
4536	ENSG00000198763
	ENSG00000210117
	ENSG00000210127
	ENSG00000210135
	ENSG00000210140
	ENSG00000210144
4512	ENSG00000198804
113219467	ENSG00000210151
	ENSG00000210154
4513	ENSG00000198712
	ENSG00000210156
4509	ENSG00000228253
4508	ENSG00000198899
4514	ENSG00000198938
	ENSG00000210164
4537	ENSG00000198840
	ENSG00000210174
4539	ENSG00000212907
4538	ENSG00000198886
	ENSG00000210176
	ENSG00000210184
	ENSG00000210191
4540	ENSG00000198786
4541	ENSG00000198695
	ENSG00000210194
4519	ENSG00000198727
	ENSG00000210195
	ENSG00000210196
	ENSG00000278457
	ENSG00000276197
124905334	ENSG00000278625
102724250	ENSG00000271254
	ENSG00000278633
100288966	ENSG00000277630
	ENSG00000278573
124907156	ENSG00000278294
124907485	ENSG00000278294
124908250	ENSG00000278294
100008587	ENSG00000274917
124907114	ENSG00000274917
124907115	ENSG00000274917
124907116	ENSG00000274917
124907117	ENSG00000274917
124907118	ENSG00000274917
124907119	ENSG00000274917
124907120	ENSG00000274917
124907121	ENSG00000274917
124907122	ENSG00000274917
124907123	ENSG00000274917
124907124	ENSG00000274917
124907125	ENSG00000274917
124907126	ENSG00000274917
124907127	ENSG00000274917
124907128	ENSG00000274917
124907129	ENSG00000274917
124907130	ENSG00000274917
124907131	ENSG00000274917
124907132	ENSG00000274917
124907133	ENSG00000274917
124907134	ENSG00000274917
124907135	ENSG00000274917
124907136	ENSG00000274917
124907137	ENSG00000274917
124907138	ENSG00000274917
124907139	ENSG00000274917
124907140	ENSG00000274917
124907141	ENSG00000274917
124907142	ENSG00000274917
124907143	ENSG00000274917
124907144	ENSG00000274917
124907145	ENSG00000274917
124907146	ENSG00000274917
124907147	ENSG00000274917
124907148	ENSG00000274917
124907149	ENSG00000274917
124907150	ENSG00000274917
124907151	ENSG00000274917
124907152	ENSG00000274917
124907153	ENSG00000274917
124907154	ENSG00000274917
124907155	ENSG00000274917
124907160	ENSG00000274917
124907172	ENSG00000274917
124907183	ENSG00000274917
124907194	ENSG00000274917
